ThingID,Name,Lat,Long,ObsID
182,空品微型感測器-08BEAC0A02AA-臺中市立春安國小,24.134453921,120.607305653,1622
183,空品微型感測器-08BEAC0A0644-臺南市市立鹽水國中,23.3217438,120.2635574,1625
185,空品微型感測器-08BEAC0A0640-臺南市市立信義國小,23.1600376,120.1822186,1631
184,空品微型感測器-08BEAC0A0646-桃園市市立凌雲國中,24.85978522,121.202024,1628
186,空品微型感測器-08BEAC0A0642-臺南市市立玉井國中,23.12322398,120.4703638,1634
187,空品微型感測器-08BEAC0A02A8-臺中市立文昌國小,24.3480038,120.6243628,1637
188,空品微型感測器-08BEAC0A0006-臺中市立神岡國中,24.246821,120.6817174,1640
191,空品微型感測器-08BEAC0A0352-臺中市立大林國小,24.1595606,120.8643148,1649
189,空品微型感測器-08BEAC0A0424-臺中市立光榮國中,24.112415314,120.695358276,1643
190,空品微型感測器-08BEAC0A0354-臺中市立信義國小,24.121788008,120.668698736,1646
192,空品微型感測器-08BEAC0A0350-臺中市立臺中國小,24.125062,120.713994,1652
193,空品微型感測器-08BEAC0A0358-臺中市立上安國小,24.172632859,120.639387891,1655
194,空品微型感測器-08BEAC0A022A-臺中市立龍津國小,24.20160865,120.5222785,1658
195,空品微型感測器-08BEAC0A073E-嘉義縣縣立義竹國中,23.34162489,120.2508129,1661
196,空品微型感測器-08BEAC0A0518-臺南市市立和順國小,23.066067,120.218457,1664
197,空品微型感測器-08BEAC0A0510-雲林縣縣立崇德國中,23.716679,120.4176137,1667
198,空品微型感測器-08BEAC0A051E-桃園市市立啟文國小,24.97873614,121.1164788,1670
199,空品微型感測器-08BEAC0A0734-嘉義縣縣立民和國中,23.46464848,120.5549623,1673
200,空品微型感測器-08BEAC0A0228-雲林縣私立正心高中,23.7141409,120.5278906,1676
201,空品微型感測器-74DA38F20C2C-高雄市市立民權國小,23.248,120.702,1679
202,空品微型感測器-08BEAC09FF92-臺中市立漢口國中,24.161689921,120.657665804,1682
203,空品微型感測器-08BEAC0A01DE-雲林縣縣立六合國小,23.76830399,120.5631709,1685
204,空品微型感測器-08BEAC0A076E-嘉義縣縣立竹崎國小,23.52014806,120.5529964,1688
205,空品微型感測器-08BEAC0A050A-嘉義縣縣立貴林國小,23.41953323,120.2139563,1691
206,空品微型感測器-08BEAC0A03F2-臺中市立和平國小,24.12048216,120.6597473,1694
207,空品微型感測器-08BEAC0A03F0-臺中市立成功國小,24.1390171,120.6964538,1697
208,空品微型感測器-08BEAC0A03F6-臺中市立國光國小,24.12571838,120.6795258,1700
209,空品微型感測器-08BEAC0A03F4-桃園市市立仁美國中(小),24.92419307,121.1840581,1703
210,空品微型感測器-08BEAC0A034A-臺南市市立博愛國小,22.99307518,120.2130248,1706
